city,location,title,bhk,area_sqft,price_lakhs,price_per_sqft
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",3,2189,1.59,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Kompally, Hyderabad",3,2200,1.43,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Kapra, Hyderabad",3,1280,64.0,0.05
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Secunderabad, Hyderabad",3,2530,2.27,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Begumpet, Hyderabad",3,1920,1.72,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Puppalguda, Hyderabad",3,2330,2.21,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Kondapur, Hyderabad",3,1930,1.48,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",3,1677,1.12,0.0
Hyderabad,Rajapushpa Sierra,"2 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",2,1295,94.0,0.07
Hyderabad,Prestige Clairemont,"3 BHK Flat  for Sale in Kokapet, Outer Ring Road, Hyderabad",3,1989,2.7,0.0
Hyderabad,Bloomfield Elation Towers,"3 BHK Flat  for Sale in Gachibowli, Hyderabad",3,2577,2.75,0.0
Hyderabad,AR Homes Rise,"3 BHK Flat  for Sale in Kollur, Outer Ring Road, Hyderabad",3,1516,1.43,0.0
Hyderabad,Hyderabad,"2 BHK Flat  for Sale in Kondapur, Hyderabad",2,1460,1.54,0.0
Hyderabad,Prestige Golden Grove,"3 BHK Flat  for Sale in Kollur, Outer Ring Road, Hyderabad",3,1560,1.45,0.0
Hyderabad,Suvela Sai Shikhara,"3 BHK Flat  for Sale in Rajendranagar Mandal, Hyderabad",3,2318,1.73,0.0
Hyderabad,Hyderabad,3 BHK Villa for Sale in Mokila Hyderabad,3,2800,3.25,0.0
Hyderabad,Zuari Gangothri Tribhuja,"3 BHK Flat  for Sale in Koonur, Hyderabad",3,1175,1.48,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Jyothi Rao Pule Colony, Serilingampally, Hyderabad",3,1575,1.37,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Somajiguda, NH 9, Hyderabad",3,2000,1.79,0.0
Hyderabad,Aparna Zenon,"3 BHK Flat  for Sale in Khizra Enclave, Puppalaguda, Hyderabad",3,990,1.74,0.0
Hyderabad,Aurobindo Kohinoor,"3 BHK Flat  for Sale in Izzathnagar, Hyderabad",3,1949,2.75,0.0
Hyderabad,Candeur Crescent,"3 BHK Flat  for Sale in Serilingampalle M, Hyderabad",3,1878,1.64,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",3,1800,1.27,0.0
Hyderabad,Hyderabad,3 BHK Villa for Sale in Bachuguda Hyderabad,3,2400,1.28,0.0
Hyderabad,Cybercity Marina Skies,"2 BHK Flat  for Sale in Hitech City, Hyderabad",2,1210,1.3,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Ameenpur, Hyderabad",3,1700,1.34,0.0
Hyderabad,PMR Parkwood,3 BHK Villa for Sale in Srinivas Nagar Kompally Hyderabad,3,3250,1.93,0.0
Hyderabad,Hyderabad,3 BHK Villa for Sale in Kompally Hyderabad,3,1967,3.37,0.0
Hyderabad,Hyderabad,"2 BHK Flat  for Sale in Viharika Colony, Peerzadiguda, Hyderabad",2,1065,60.0,0.06
Hyderabad,Jain Fairmount The ARC,"3 BHK Flat  for Sale in Laxmi Ganapathi Housing Welfare Society, Hyderabad",3,1650,98.3,0.06
Hyderabad,Jains Fairmount Sri Ram Garden 2,"3 BHK Flat  for Sale in Jaibery Colony, Komapally, Hyderabad",3,2100,1.68,0.0
Hyderabad,Jains Fairmount Sri Ram Garden 2,"3 BHK Flat  for Sale in Jaibery Colony, Komapally, Hyderabad",3,1855,1.63,0.0
Hyderabad,Western Springs,"3 BHK Flat  for Sale in Nanakaramguda, Hyderabad",3,2960,2.9,0.0
Hyderabad,Hyderabad,"2 BHK Flat  for Sale in Narsingi, Outer Ring Road, Hyderabad",2,954,1.32,0.0
Hyderabad,The My Nest Cloud9,"3 BHK Flat  for Sale in Kollur, Outer Ring Road, Hyderabad",3,1300,97.2,0.07
Hyderabad,Rubrick Tulip,"2 BHK Flat  for Sale in Tukkuguda, Srisailam Highway, Hyderabad",2,809,52.0,0.06
Hyderabad,Lodha Meridian,"3 BHK Flat  for Sale in Kukatpally Housing Board Colony, NH 9, Hyderabad",3,1854,1.48,0.0
Hyderabad,Technopolis Solitaire Unity,"3 BHK Flat  for Sale in Kondapur, Hyderabad",3,1000,1.25,0.0
Hyderabad,Citizen Kapur Towers,"3 BHK Flat  for Sale in Punjagutta, NH 9, Hyderabad",3,2323,1.88,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Medchal, Hyderabad",3,2713,3.65,0.0
Hyderabad,Vasavi Ananda Nilayam,"3 BHK Flat  for Sale in LB Nagar, NH 9, Hyderabad",3,2020,1.68,0.0
Hyderabad,Lakshmi Cadillac,"3 BHK Flat  for Sale in Kondapur, Hyderabad",3,2141,1.7,0.0
